"","ชื่อโรงเรียน","จังหวัด","lat","lon","school_size","math","sci","eng","math.sd","sci.sd","eng.sd"
"85","สายปัญญา ในพระบรมราชินูปถัมภ์","กรุงเทพมหานคร",13.7434247778,100.514752758,"L",27.0833333333333,29.7622222222222,32.9305555555556,19.1470140248399,11.8051319803574,16.7706784892938
"86","สารวิทยา","กรุงเทพมหานคร",13.8510727221,100.583498517,"XL",33.3644859813084,31.664953271028,38.0724299065421,18.9403943511398,11.7775354097529,16.2466255330042
"87","สิริรัตนาธร","กรุงเทพมหานคร",13.6759648207,100.623559356,"XL",26.2337662337662,31.424025974026,32.288961038961,15.3233963734649,11.5527583012776,12.1334455756778
"88","สีกัน (วัฒนานันท์อุปถัมภ์)","กรุงเทพมหานคร",13.9243747,100.5940614,"L",18.4259259259259,26.8264150943396,29.537037037037,6.99218391626949,7.84014327143904,13.4679395168226
"89","สุขุมนวพันธ์อุปถัมภ์","กรุงเทพมหานคร",13.7867574,100.6680548,"L",17.7941176470588,26.721875,22.3863636363636,8.95622151039798,6.26545749816327,5.08101971691081
"90","สุรศักดิ์มนตรี","กรุงเทพมหานคร",13.7763144,100.5555868,"XL",30.1225490196078,31.171568627451,33.6887254901961,21.9088386109294,13.0597759555857,16.3287102236356
"91","สุวรรณพลับพลาพิทยาคม","กรุงเทพมหานคร",13.7579645398,100.448784844,"M",16.7857142857143,26.052380952381,23.5119047619048,6.62112420320641,8.21298478311138,8.34433797197095
"92","สุวรรณารามวิทยาคม","กรุงเทพมหานคร",13.7623914754,100.475392789,"L",22.95,29.518,30.05,13.7087972648581,8.50753423592936,12.2837415359673
"93","โสตศึกษาทุ่งมหาเมฆ","กรุงเทพมหานคร",13.7158,100.535,"S",12.5,27.225,18.75,0,4.49012806053458,1.76776695296637
"94","หอวัง","กรุงเทพมหานคร",13.8189789,100.560686,"XL",48.2402234636872,40.2860335195531,52.0530726256983,26.3053237649102,16.2095512285991,16.0754227948761
